id,title,address,price,surface,rooms,property_type,latitude,longitude,description,features,source,url,scraped_at,property_type_extracted,qualitative_features
1666,Beautiful Studio  in a great neighborhood! Ready to view now!,Studio City,1596.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/valley-village-beautiful-studio-in/7867534378.html,2025-08-09,studio,['unknown']
1667,VIDEO TOUR! CHARMING STUDIO w/PAID UTILITIES & LAUNDRY ON-SITE! 11118,LOS ANGELES / WINDSOR VILLAGE,1410.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-video-tour-charming-studio/7865630930.html,2025-08-09,studio,['laundry']
1668,Studio in West Los Angeles ^ Full Kitchen ^ Carport ^ Must See!,West Los Angeles,1595.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/wst/apa/d/los-angeles-studio-in-west-los-angeles/7872368239.html,2025-08-09,studio,['unknown']
1669,Creative Studio Spaces!,Arts District,2103.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-creative-studio-spaces/7872373986.html,2025-08-09,studio,['unknown']
1670,Studio in Van Nuys +Full Kitchen +Air Conditioning +Large Closets,Van Nuys,1625.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-studio-in-van-nuys-full/7872373442.html,2025-08-09,studio,['unknown']
1671,Studio in Westlake * Air Conditioning * Pet-Friendly * Laundry On-Site,Westlake / Near USC,1323.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-in-westlake-air/7872373465.html,2025-08-09,studio,['laundry']
1672,Must-See Studio with Spacious Bedroom & Heated Spa,Long Beach,1890.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lgb/apa/d/long-beach-must-see-studio-with/7872373407.html,2025-08-09,studio,['spacious']
1673,Koreatown Adjacent Studio with Vinyl Plank Flooring + Refrigerator,Westlake / Koreatown ADJ,1425.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-koreatown-adjacent-studio/7872373426.html,2025-08-09,studio,['unknown']
1674,Studio available 8.13.2025 Look and lease with 1 month off!,Westwood Village,2100.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/wst/apa/d/los-angeles-studio-available-look-and/7871831177.html,2025-08-09,studio,['unknown']
1675,"1 Month Free, W/D, Brand New Studio PH in Downtown Los Angeles",South Park,2100.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-month-free-d-brand-new/7872363987.html,2025-08-09,studio,['unknown']
1676,"One Month Free! Studio w/ In-Unit Laundry, Near Beaches",westside-southbay-310,2400.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/wst/apa/d/los-angeles-one-month-free-studio-in/7872373114.html,2025-08-09,studio,['laundry']
1677,"Studio In Amazing Santa Monica + SS Appliances, Pool, Pet-Friendly",Santa Monica,2100.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/wst/apa/d/santa-monica-studio-in-amazing-santa/7872372126.html,2025-08-09,studio,['unknown']
1678,"Studio in Westwood Village - A/C, Right Next to UCLA",West Los Angeles,2350.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/wst/apa/d/los-angeles-studio-in-westwood-village/7872372042.html,2025-08-09,studio,['unknown']
1679,Studio with Mini Yard - Dog Friendly - Walk to USC Village,"2711 Ellendale Pl, Los Angeles, CA",1845.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-with-mini-yard-dog/7871727412.html,2025-08-09,studio,['unknown']
1680,"A new perspective on living: Studio , 320 Sq Ft!",Covina,1822.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sgv/apa/d/covina-new-perspective-on-living-studio/7869486276.html,2025-08-09,studio,['unknown']
1681,1 Bedroom 1 BA in Studio City | SS Appliances | Central A/C | Parking,Studio City,2295.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sfv/apa/d/studio-city-bedroom-ba-in-studio-city/7872371446.html,2025-08-09,studio,['unknown']
1682,Cozy Studio,Lynwood,1250.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/lac/apa/d/lynwood-cozy-studio/7868012359.html,2025-08-09,studio,['unknown']
1683,Stunning Studio Loft in Heart of Downtown,Pomona,2375.0,,,appartement,,,,[],craigslist_losangeles,https://losangeles.craigslist.org/sgv/apa/d/pomona-stunning-studio-loft-in-heart-of/7872370090.html,2025-08-09,studio,['unknown']
